%time soc i_tot i_mcu i_rf i_pv v_pv real_i_pv i_batt v_batt i_air_quality_sensor i_methane_sensor i_temperature_sensor i_mic_click_sensor
215 0.999715278068 0.011 0.002 0.001 0 0 0 0.0259521165745 4.56801072444 0.002 0.002 0.002 0.002
216 0.999715275815 0.011 0.002 0.001 0 0 0 0.0259521166638 4.56801070871 0.002 0.002 0.002 0.002
217 0.999715273562 0.011 0.002 0.001 0 0 0 0.0259521167532 4.56801069299 0.002 0.002 0.002 0.002
218 0.999715271309 0.011 0.002 0.001 0 0 0 0.0259521168425 4.56801067726 0.002 0.002 0.002 0.002
219 0.999715269057 0.011 0.002 0.001 0 0 0 0.0259521169318 4.56801066154 0.002 0.002 0.002 0.002
220 0.999715266804 0.011 0.002 0.001 0 0 0 0.0259521170212 4.56801064581 0.002 0.002 0.002 0.002
221 0.999715264551 0.011 0.002 0.001 0 0 0 0.0259521171105 4.56801063009 0.002 0.002 0.002 0.002
222 0.999715262298 0.011 0.002 0.001 0 0 0 0.0259521171998 4.56801061436 0.002 0.002 0.002 0.002
223 0.999715260046 0.011 0.002 0.001 0 0 0 0.0259521172892 4.56801059864 0.002 0.002 0.002 0.002
224 0.999715257793 0.011 0.002 0.001 0 0 0 0.0259521173785 4.56801058291 0.002 0.002 0.002 0.002
225 0.99971525554 0.011 0.002 0.001 0 0 0 0.0259521174678 4.56801056719 0.002 0.002 0.002 0.002
226 0.999715253287 0.011 0.002 0.001 0 0 0 0.0259521175572 4.56801055146 0.002 0.002 0.002 0.002
227 0.999715251034 0.011 0.002 0.001 0 0 0 0.0259521176465 4.56801053574 0.002 0.002 0.002 0.002
228 0.999715248782 0.011 0.002 0.001 0 0 0 0.0259521177359 4.56801052001 0.002 0.002 0.002 0.002
229 0.999715246529 0.011 0.002 0.001 0 0 0 0.0259521178252 4.56801050429 0.002 0.002 0.002 0.002
230 0.999715244276 0.011 0.002 0.001 0 0 0 0.0259521179145 4.56801048856 0.002 0.002 0.002 0.002
231 0.999715242023 0.011 0.002 0.001 0 0 0 0.0259521180039 4.56801047284 0.002 0.002 0.002 0.002
232 0.99971523977 0.011 0.002 0.001 0 0 0 0.0259521180932 4.56801045711 0.002 0.002 0.002 0.002
233 0.999715237518 0.011 0.002 0.001 0 0 0 0.0259521181825 4.56801044139 0.002 0.002 0.002 0.002
234 0.999715235265 0.011 0.002 0.001 0 0 0 0.0259521182719 4.56801042567 0.002 0.002 0.002 0.002
235 0.999715233012 0.011 0.002 0.001 0 0 0 0.0259521183612 4.56801040994 0.002 0.002 0.002 0.002
236 0.999715230759 0.011 0.002 0.001 0 0 0 0.0259521184506 4.56801039422 0.002 0.002 0.002 0.002
